,animal,accuracy,yes_count,no_count
0,corgi,0.00,4,0
1,beagle,0.00,4,0
2,boxer,0.25,3,1
3,bulldog,0.75,1,3
4,dog,0.75,1,3
5,chihuahua,1.00,0,4
6,collie,0.00,4,0
7,dalmatian,0.75,1,3
8,doberman,0.50,2,2
9,fox,0.00,4,0
10,labrador,1.00,0,4
11,pinscher,0.50,2,2
12,pomeranian,0.25,3,1
13,schnauzer,0.25,3,1
14,terrier,0.75,1,3
15,wolf,0.25,3,1
16,cat,0.50,2,2
17,caracal,0.25,3,1
18,jaguar,0.50,2,2
19,liger,0.75,1,3
20,lion,0.00,4,0
21,leopard,0.25,3,1
22,tiger,0.75,1,3
23,beef,0.00,4,0
24,bull,0.50,2,2
25,cow,0.25,3,1
26,ox,0.50,2,2
27,rhino,0.25,3,1
28,elephant,0.00,4,0
29,bear,0.00,4,0
30,camel,0.75,1,3
31,deer,0.00,4,0
32,goat,0.25,3,1
33,gorilla,0.25,3,1
34,horse,0.00,4,0
35,hippopotamus,0.00,4,0
36,iguana,1.00,0,4
37,koala,0.75,1,3
38,kangaroo,0.50,2,2
39,lizard,0.75,1,3
40,monkey,0.50,2,2
41,mule,0.25,3,1
42,pig,0.25,3,1
43,rabbit,0.00,4,0
44,rat,1.00,0,4
45,sheep,0.00,4,0
46,zebra,0.75,1,3
47,worm,0.25,3,1
48,snail,0.25,3,1
49,giraffe,0.00,4,0
50,tarantula,0.25,3,1
51,spider,0.25,3,1
52,boa,0.25,3,1
53,cobra,1.00,0,4
54,mamba,0.50,2,2
55,baboon,0.25,3,1
56,grivet,0.25,3,1
57,aardvark,0.75,1,3
58,mouse,1.00,0,4
59,bison,0.50,2,2
60,ass,0.75,1,3
61,antelope,0.00,4,0
62,ant,0.25,3,1
63,caterpillar,0.00,4,0
64,shrew,0.75,1,3
65,raccoon,0.75,1,3
66,husky,0.25,3,1
67,skunk,0.50,2,2
68,ape,0.25,3,1
69,alpaca,0.00,4,0
70,donkey,0.75,1,3
71,moose,0.00,4,0
72,alligator,1.00,0,4
73,crocodile,0.25,3,1
74,snake,0.50,2,2
75,frog,0.00,4,0
76,salamander,0.75,1,3
77,gibbon,0.25,3,1
78,hyena,0.50,2,2
79,rottweiler,1.00,0,4
80,squirrel,0.25,3,1
81,tapir,1.00,0,4
82,yak,0.75,1,3
83,fish,0.25,3,1
84,shark,1.00,0,4
85,tuna,0.25,3,1
86,jellyfish,1.00,0,4
87,salmon,0.50,2,2
88,octupus,0.50,2,2
89,barracuda,0.75,1,3
90,codfish,1.00,0,4
91,crab,0.50,2,2
92,cuttlefish,0.50,2,2
93,dolphin,1.00,0,4
94,eel,0.50,2,2
95,gar,0.25,3,1
96,herring,0.00,4,0
97,lobster,0.75,1,3
98,oyster,0.50,2,2
99,puma,0.75,1,3
100,piranha,0.75,1,3
101,seal,0.50,2,2
102,shrimp,0.50,2,2
103,prawn,0.00,4,0
104,starfish,0.25,3,1
105,sponge,0.50,2,2
106,whale,0.50,2,2
